date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2010-10-04,0,0,0,0,0,1,0,0,2,2,0,0,0,24,18,0,0
2010-10-05,0,0,0,0,0,6,0,0,0,0,0,0,0,1,23,0,0
2010-10-06,0,0,0,0,0,4,0,0,0,0,0,0,0,2,28,0,0
2010-10-07,0,0,0,0,0,5,0,0,0,0,0,0,0,2,32,0,0
2010-10-08,0,0,0,0,2,0,0,0,0,0,0,0,0,34,0,0,0
2010-10-09,0,0,0,0,0,2,0,0,0,0,0,0,0,1,32,0,0
2010-10-10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,29,0,0
2010-10-11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0
2010-10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,0,0
2010-10-13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,0,0
2010-10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
2010-10-15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0
2010-10-16,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
2010-10-17,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
2010-10-18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,0,0
2010-10-19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0
2010-10-20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,0,0
2010-10-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0
2010-10-22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0
2010-10-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-24,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21,0,0
2010-10-25,0,0,0,0,0,0,0,0,0,0,11,0,0,13,0,0,0
2010-10-26,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,0,0
2010-10-27,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
2010-10-28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,0,0
2010-10-29,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,0,0
2010-10-30,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,0,0
2010-10-31,0,0,0,0,0,0,2,0,0,0,0,0,0,25,0,0,0
2010-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0
2010-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
2010-11-03,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0
2010-11-04,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
2010-11-05,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0
2010-11-06,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0
2010-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
2010-11-08,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,0,0
2010-11-09,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
2010-11-10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0
2010-11-11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0
2010-11-12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0
2010-11-13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
2010-11-14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2010-11-15,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
2010-11-16,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0
2010-11-17,0,0,0,0,0,0,0,0,0,0,0,2,0,1,13,0,0
2010-11-18,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
2010-11-19,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
2010-11-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
2010-11-21,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
2010-11-22,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
2010-11-23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
2010-11-24,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0
2010-11-25,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
2010-11-26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0
